Arsenault,Fernand Arsenault,"Cap-Pelé, New Brunswick",Order of Canada
Arsenault,Iphigenie Arsenault,"Charlottetown, Prince Edward Island",Order of Canada
Arsenault,J. Edmond Arsenault,"Charlottetown, Prince Edward Island",Order of Canada
Arsenault,Monique Arsenault,"Saint-Augustin-de-Desmaures, Quebec",Order of Canada
Arthur,Eric R. Arthur,"Toronto, Ontario",Order of Canada
Arthur,Paul Rodney Arthur,"Toronto, Ontario",Order of Canada
Arthurs,Harry William Arthurs,"Toronto, Ontario",Order of Canada
Ash,Dorothy K. Ash,"Flin Flon, Manitoba",Order of Canada
Ash,W. Vacy Ash,"Toronto, Ontario",Order of Canada
Ashby-Praunsperger von Hadesdorf,Mira Ashby-Praunsperger von Hadesdorf,"Toronto, Ontario",Order of Canada
Ashevak,Kenojuak Ashevak,"Cape Dorset, Nunavut",Order of Canada
Ashoona,Kiawak Ashoona,"Cape Dorset, Nunavut",Order of Canada
Ashoona,Pitseolak Ashoona,"Cape Dorset, Nunavut",Order of Canada
Asper,Gail Asper,"Winnipeg, Manitoba",Order of Canada
Asper,Israel Harold Asper,"Winnipeg, Manitoba",Order of Canada
Aspler,Tony Aspler,"Toronto, Ontario",Order of Canada
Asselin,Martial Asselin,"Sillery, Quebec",Order of Canada
Asselin-Vaillancourt,Marthe Asselin-Vaillancourt,"Saguenay, Quebec",Order of Canada
Athans,George Athans,"Montreal, Quebec",Order of Canada
Atkins,George Stuart Atkins,"Wiarton, Ontario",Order of Canada
Atkinson,Evelyn  Mary Atkinson,"Vancouver, British Columbia",Order of Canada
Atkinson,Robert Roy Atkinson,"Saskatoon, Saskatchewan",Order of Canada
Atwood,Margaret Atwood,"Toronto, Ontario",Order of Canada
Aubry,Claude B. Aubry,"Ottawa, Ontario",Order of Canada
Aubut,Marcel Aubut,"Sillery, Quebec",Order of Canada
AuCoin,J. Denis AuCoin,"Grand-Étang, Nova Scotia",Order of Canada
Aucoin,Peter Aucoin,"Halifax, Nova Scotia",Order of Canada
Audain,Michael James Audain,"West Vancouver, British Columbia",Order of Canada
Audet,Henri Audet,"Montréal, Quebec",Order of Canada
Audet,Jean-Paul Audet,"Magog, Quebec",Order of Canada
Audet,Paul-A. Audet,"Québec, Quebec",Order of Canada
Audet-Lapointe,Pierre Audet-Lapointe,"Montréal, Quebec",Order of Canada
Audette,Louis de la Chesnaye Audette,"Ottawa, Ontario",Order of Canada
Audlaluk,Larry Audlaluk,"Grise Fiord, Nunavut",Order of Canada
Auger,Paul-Émile Auger,"Québec, Quebec",Order of Canada
Augustine,Annette Helene Augustine,"Thunder Bay, Ontario",Order of Canada
Augustine,Jean Augustine,"Toronto, Ontario",Order of Canada
Augustyn,Frank Augustyn,Hempstead,Order of Canada
Auld,Isabel George Hutcheson Auld,"Winnipeg, Manitoba",Order of Canada
Auld,W. Murray Auld,"Winnipeg, Manitoba",Order of Canada
Aung,Steven K.H. Aung,"Edmonton, Alberta",Order of Canada
Avison,John Avison,"Vancouver, British Columbia",Order of Canada
Avison,Margaret Avison,"Toronto, Ontario",Order of Canada
Axworthy,Lloyd Axworthy,"Winnipeg, Manitoba",Order of Canada
Axworthy,Thomas S. Axworthy,"Toronto, Ontario",Order of Canada
Aykroyd,Daniel Edward Aykroyd,"Sydenham, Ontario",Order of Canada
Ayoub,Antoine Ayoub,"Québec, Quebec",Order of Canada
Ayre,Lewis Haldane Miller Ayre,"St. John's, Newfoundland and Labrador",Order of Canada
Ayre,Miller H. Ayre,"St. John's, Newfoundland and Labrador",Order of Canada
Aznavour,Charles Aznavour,Paris,Order of Canada
Azrieli,David J. Azrieli,"Montréal, Quebec",Order of Canada
Azzie,Suzanne Azzie,"Ottawa, Ontario",Order of Canada
Babiuk,Lorne A. Babiuk,"Edmonton, Alberta",Order of Canada
Bachand,André Bachand,"Outremont, Quebec",Order of Canada
Bachman,Randolph C. (Randy) Bachman,"Salt Spring Island, British Columbia",Order of Canada
Back,Frédéric Back,"Montréal, Quebec",Order of Canada
Backhouse,Constance Backhouse,"Ottawa, Ontario",Order of Canada
Bacon,Lise Bacon,"Laval, Quebec",Order of Canada
Baghdjian,Kevork Baghdjian,"Montréal, Quebec",Order of Canada
Bagnall,Flora Minnie Leone Bagnall,"Hunter River, Prince Edward Island",Order of Canada
Bagnell,Glen Merlyn Bagnell,"Dartmouth, Nova Scotia",Order of Canada
Bagshaw,Elizabeth Bagshaw,"Hamilton, Ontario",Order of Canada
Bahen,John Edward Bahen,"King City, Ontario",Order of Canada
Bailey,Alfred Goldsworthy Bailey,"Fredericton, New Brunswick",Order of Canada
Baillargeon-Côt,Hélène Baillargeon-Côté,"Montréal, Quebec",Order of Canada
Baillie,A. Charles Baillie,"Toronto, Ontario",Order of Canada
Bain,George Bain,"Mahone Bay, Nova Scotia",Order of Canada
Bain,Harry W. Bain,"Callander, Ontario",Order of Canada
Baird,A. Foster Baird,"Fredericton, New Brunswick",Order of Canada
Baird,David McCurdy Baird,"North Saanich, British Columbia",Order of Canada
Baird,Nini Baird,"West Vancouver, British Columbia",Order of Canada
Baird,Patricia A. Baird,"Vancouver, British Columbia",Order of Canada
Baird,Vaughan Lawson Baird,"Sainte-Agathe, Manitoba",Order of Canada
Baker,Carroll Baker,"Guelph, Ontario",Order of Canada
Baker,Clare Baker,"Thornhill, Ontario",Order of Canada
Baker,E.A. Baker,"Toronto, Ontario",Order of Canada
Baker,George Chisholm Baker,"Kentville, Nova Scotia",Order of Canada
Baker,Michael A. Baker,"Toronto, Ontario",Order of Canada
Baker,Peggy Baker,"Toronto, Ontario",Order of Canada
Baker,Ronald James Baker,"New Westminster, British Columbia",Order of Canada
Baker,Simon Baker,"North Vancouver, British Columbia",Order of Canada
Balcan,George Balcan,"Westmount, Quebec",Order of Canada
Balcom,Eric W. Balcom,"Port Dufferin-By-The-Sea, Nova Scotia",Order of Canada
Baldwin,Gerald W. Baldwin,"Ottawa, Ontario",Order of Canada
Bales,Gerald Bales,"London, Ontario",Order of Canada
Balfour,St. Clair Balfour,"Toronto, Ontario",Order of Canada
Balinsky,Clara Z. Balinsky,"Westmount, Quebec",Order of Canada
Ballard,Geoffrey E.H. Ballard,"West Vancouver, British Columbia",Order of Canada
Baltzan,Marc A. Baltzan,"Saskatoon, Saskatchewan",Order of Canada
Baltzan,Richard B. Baltzan,"Saskatoon, Saskatchewan",Order of Canada
Bancroft,G. Michael Bancroft,"London, Ontario",Order of Canada
Band,Charles S. Band,"Toronto, Ontario",Order of Canada
Bandeen,Mona Blair Bandeen,"Toronto, Ontario",Order of Canada
Bandeen,Robert A. Bandeen,"Toronto, Ontario",Order of Canada
Bandrauk,André D. Bandrauk,"Hatley, Quebec",Order of Canada
Banister,Madeleine E. Banister,"Red Deer, Alberta",Order of Canada
Banks,Tommy Banks,"Ottawa, Ontario",Order of Canada
Banting,Keith G. Banting,"Kingston, Ontario",Order of Canada
Barakett,William J. Barakett,"Knowlton, Quebec",Order of Canada
Barbeau,André Barbeau,"Montréal, Quebec",Order of Canada
Barbeau,François Barbeau,"Montréal, Quebec",Order of Canada
Barbeau,Marcel Barbeau,"Montréal, Quebec",Order of Canada
Barbeau,Marius Barbeau,"Ottawa, Ontario",Order of Canada
Barbeau,Victor Barbeau,"Outremont, Quebec",Order of Canada
Barber,Clarence L. Barber,"Victoria, British Columbia",Order of Canada
Barber,H. Douglas Barber,"Dundas, Ontario",Order of Canada
Barber,Irving K. (Ike) Barber,"Delta, British Columbia",Order of Canada
Barber,Lloyd Barber,"Regina Beach, Saskatchewan",Order of Canada
Barclay,Lawrence Ross Coates Barclay,"Sackville, New Brunswick",Order of Canada
Barclay,Mary Belle Barclay,"Calgary, Alberta",Order of Canada
Barford,Ralph MacKenzie Barford,"North York, Ontario",Order of Canada
Baril,Marcel Baril,"Noranda, Quebec",Order of Canada
Barker,C.A.V. Barker,"Guelph, Ontario",Order of Canada
Barker,Mary Ross Barker,"Ingonish, Nova Scotia",Order of Canada
Barkham,Selma de Lotbinière Barkham,Chichester,Order of Canada
Barkhouse,Joyce Barkhouse,"Bridgewater, Nova Scotia",Order of Canada
Barkun,Harvey Barkun,"Rockcliffe, Ontario",Order of Canada
Barnard,André Barnard,"Québec, Quebec",Order of Canada
Barnard,Kenneth N. Barnard,"Halifax County, Nova Scotia",Order of Canada
Barnes,Christopher Richard Barnes,"Victoria, British Columbia",Order of Canada
Barnes,Michael Barnes,"Haliburton, Ontario",Order of Canada
Barnett,Henry J.M. Barnett,"Toronto, Ontario",Order of Canada
Barnicke,Joseph John Barnicke,"Toronto, Ontario",Order of Canada
Barr,Gerald K. Barr,"Toronto, Ontario",Order of Canada
Barr,Murray L. Barr,"London, Ontario",Order of Canada
Barrett,Barbara Bettine Barrett,"St. John's, Newfoundland and Labrador",Order of Canada
Barrett,David Barrett,"Victoria, British Columbia",Order of Canada
Barrett,Matthew W. Barrett,"Toronto, Ontario",Order of Canada
Barriere,James Barriere,"Île-des-Soeurs, Quebec",Order of Canada
Barris,Alex Paul Barris,"Toronto, Ontario",Order of Canada
Barron,John Barron,"Komoka, Ontario",Order of Canada
Barter,Augusta Barter,"Bay de Verde, Newfoundland and Labrador",Order of Canada
Bartle,Jean Ashworth Bartle,"Islington, Ontario",Order of Canada
Bartnikas,Raymond Bartnikas,"Varennes, Quebec",Order of Canada
Barton,Bradford J. Barton,"Dartmouth, Nova Scotia",Order of Canada
Barton,Eric A. Barton,"Toronto, Ontario",Order of Canada
Barton,William Barton,"Ottawa, Ontario",Order of Canada
Barwin,B. Norman Barwin,"Nepean, Ontario",Order of Canada
Basinski,Zbigniew Stanislaw Basinski,"Ancaster, Ontario",Order of Canada
Basmajian,John V. Basmajian,"Burlington, Ontario",Order of Canada
Basque,Elsie Charles Basque,"Saunierville, Nova Scotia",Order of Canada
Basrur,Parvathi K. Basrur,"Guelph, Ontario",Order of Canada
Bassett,Douglas G. Bassett,"Toronto, Ontario",Order of Canada
Bassett,John W.H. Bassett,"Toronto, Ontario",Order of Canada
Basso,Guido Basso,"Consecon, Ontario",Order of Canada
Bastarache,Michel Bastarache,"Ottawa, Ontario",Order of Canada
Bata,Sonja I. Bata,"Don Mills, Ontario",Order of Canada
Bata,Thomas J. Bata,"Don Mills, Ontario",Order of Canada
Bateman,Robert McLellan Bateman,"Salt Spring Island, British Columbia",Order of Canada
Bates,David V. Bates,"Vancouver, British Columbia",Order of Canada
Bates,Gordon A. Bates,"Toronto, Ontario",Order of Canada
Bates,John Gordon Bates,"Etobicoke, Ontario",Order of Canada
Bates,John S. Bates,"Sackville, New Brunswick",Order of Canada
Bates,Maxwell Bates,"Victoria, British Columbia",Order of Canada
Batshaw,Manuel G. Batshaw,"Saint-Laurent, Quebec",Order of Canada
Battcock,Adrian G. Battcock,"St. John's, Newfoundland and Labrador",Order of Canada
Batten,Albert Batten,"Fergus, Ontario",Order of Canada
Battle,Kenneth Robert Battle,"Ottawa, Ontario",Order of Canada
Battle,Robert F. Battle,"Victoria, British Columbia",Order of Canada
Baudoux,Maurice Baudoux,"St-Boniface, Manitoba",Order of Canada
Bauer,David Bauer,"Vancouver, British Columbia",Order of Canada
Baulu,Roger Baulu,"Verdun, Quebec",Order of Canada
Baum,Gregory Baum,"Montréal, Quebec",Order of Canada
Baumann,Alex Sasa Baumann,"Ottawa, Ontario",Order of Canada
Baumann,Bertha Baumann,"St. Boniface, Manitoba",Order of Canada
Bawden,Peter C. Bawden,"Calgary, Alberta",Order of Canada
Baxter,Cynthia Baxter,"Ottawa, Ontario",Order of Canada
Baxter,Donald W. Baxter,"Montréal, Quebec",Order of Canada
Baxter,Iain Baxter&,"Windsor, Ontario",Order of Canada
Bayefsky,Aba Bayefsky,"Don Mills, Ontario",Order of Canada
Bayer,Mary Elizabeth Bayer,"Victoria, British Columbia",Order of Canada
Bazar,Beatrice Bazar,"Westmount, Quebec",Order of Canada
Beadle,Gert Beadle,"Kelowna, British Columbia",Order of Canada
Beall,Herbert W. Beall,"Ottawa, Ontario",Order of Canada
Beals,Carlyle S. Beals,"Manotick, Ontario",Order of Canada
Beament,George Edwin Beament,"Ottawa, Ontario",Order of Canada
Beamish,Richard James Beamish,"Nanaimo, British Columbia",Order of Canada
Beamish,Robert E. Beamish,"Winnipeg, Manitoba",Order of Canada
Bear,Shirley Bear,"Perth-Andover, New Brunswick",Order of Canada
Beare-Rogers,Joyce L. Beare-Rogers,"Nepean, Ontario",Order of Canada
Beasley,Larry Beasley,"Vancouver, British Columbia",Order of Canada
Beaton,George Hector Beaton,"North York, Ontario",Order of Canada
Beattie,Allan Leslie Beattie,"Toronto, Ontario",Order of Canada
Beatty,Bruce W. Beatty,"Ottawa, Ontario",Order of Canada
Beatty,D.S. Beatty,"Toronto, Ontario",Order of Canada
Beatty,Patricia Beatty,"Toronto, Ontario",Order of Canada
Beaubien,Irénée Beaubien,"Montréal, Quebec",Order of Canada
Beaubien,Jeanine Beaubien,"Verdun, Quebec",Order of Canada
Beauchamp,Jacques Beauchamp,"Montréal, Quebec",Order of Canada
Beauchemin,Lucette R. Beauchemin,"Outremont, Quebec",Order of Canada
Beauchemin,Micheline Beauchemin,"Grondines, Quebec",Order of Canada
Beaudet,Guy Beaudet,"Mont-Royal, Quebec",Order of Canada
Beaudoin,Gérald-A. Beaudoin,"Gatineau, Quebec",Order of Canada
Beaudoin,Jacques Beaudoin,"Verchères, Quebec",Order of Canada
Beaudoin,Jocelyn Beaudoin,"Montréal, Quebec",Order of Canada
Beaudoin,Laurent Beaudoin,"Montréal, Quebec",Order of Canada
Beaulieu,Charles E. Beaulieu,"Québec, Quebec",Order of Canada
Beaulieu,Jacques Beaulieu,"Québec, Quebec",Order of Canada
Beaulne,Guy Beaulne,"Montréal, Quebec",Order of Canada
Beaulne,Yvon Beaulne,"Hull, Quebec",Order of Canada
Beauregard,Luc Beauregard,"Montréal, Quebec",Order of Canada
Beauvais,Emile M.A. Beauvais,"Québec, Quebec",Order of Canada
Beck,H. Thomas Beck,"Toronto, Ontario",Order of Canada
Beck,James Murray Beck,"Halifax, Nova Scotia",Order of Canada
Becklake,Margaret Becklake,"Montreal, Quebec",Order of Canada
Beckwith,John Beckwith,"Toronto, Ontario",Order of Canada
Beddoe,Alan B. Beddoe,"Ottawa, Ontario",Order of Canada
Bedson,Derek R.C. Bedson,"Winnipeg, Manitoba",Order of Canada
Beer,Charles T. Beer,"Vancouver, British Columbia",Order of Canada
Beesley,J. Alan Beesley,"Victoria, British Columbia",Order of Canada
Beeston,Paul Beeston,"Toronto, Ontario",Order of Canada
Beetz,Jean Beetz,"Montréal, Quebec",Order of Canada
Begg,Robert W. Begg,"Saskatoon, Saskatchewan",Order of Canada
Bégin,Monique Bégin,"Ottawa, Ontario",Order of Canada
Beharriell,Patricia Leone Beharriell,"Kingston, Ontario",Order of Canada
Beil,Charles Beil,"Banff, Alberta",Order of Canada
Béique,Pierre Béique,"Montréal, Quebec",Order of Canada
Beiser,Morton Beiser,"Toronto, Ontario",Order of Canada
Bélanger,Jean M. Bélanger,"Ottawa, Ontario",Order of Canada
Bélanger,Jean-Luc Bélanger,"Dieppe, New Brunswick",Order of Canada
Bélanger,Laurent Bélanger,"Earlton, Ontario",Order of Canada
Bélanger,Léonidas Bélanger,"Chicoutimi, Quebec",Order of Canada
Bélanger,Marcel Bélanger,"Québec, Quebec",Order of Canada
Bélanger,Michel Bélanger,"Outremont, Quebec",Order of Canada
Bélanger,Walter Bélanger,"Matane, Quebec",Order of Canada
Belcourt,Herbert Clifford Belcourt,"Sherwood Park, Alberta",Order of Canada
Béliveau,Jean Béliveau,"Longueuil, Quebec",Order of Canada
Bell,Alfred M. Bell,"Stratford, Ontario",Order of Canada
Bell,Carol Gay Bell,"Regina, Saskatchewan",Order of Canada
Bell,Dama Lumley Bell,"Stratford, Ontario",Order of Canada
Bell,Douglas L.D. Bell,"Whitehorse, Yukon",Order of Canada
Bell,George Gray Bell,"Scarborough, Ontario",Order of Canada
Bell,Jack Bell,"Vancouver, British Columbia",Order of Canada
Bell,John Kim Bell,"Toronto, Ontario",Order of Canada
Bell,John M. Bell,"Saskatoon, Saskatchewan",Order of Canada
Bell,Lennox G. Bell,"Winnipeg, Manitoba",Order of Canada
Bell,R. Gordon Bell,"Willowdale, Ontario",Order of Canada
Bell,Ralph P. Bell,"Murder Point, Nova Scotia",Order of Canada
Bell,Robert E. Bell,"Delta, British Columbia",Order of Canada
Bell,Ruth Marion Bell,"Ottawa, Ontario",Order of Canada
Bell,Thomas Johnston Bell,"Toronto, Ontario",Order of Canada
Bell-Irving,Henry Pybus Bell-Irving,"West Vancouver, British Columbia",Order of Canada
Bellamy,Kathrine Bellamy,"St. John's, Newfoundland and Labrador",Order of Canada
Bellavance,Louise Bellavance,"Charlesbourg, Quebec",Order of Canada
Belleau,Bernard Belleau,"Montréal, Quebec",Order of Canada
Bellemare,Maurice Bellemare,"St-Jean-des-Piles, Quebec",Order of Canada
Bellini,Francesco Bellini,"Calgary, Alberta",Order of Canada
Belmonte,Mimi M. Belmonte,"Verdun, Quebec",Order of Canada
Belyea,Helen R. Belyea,"Calgary, Alberta",Order of Canada
Belzberg,Frances Belzberg,"Vancouver, British Columbia",Order of Canada
Belzberg,Jenny Belzberg,"Calgary, Alberta",Order of Canada
Belzberg,Samuel Belzberg,"Vancouver, British Columbia",Order of Canada
Belzile,Charles H. Belzile,"Ottawa, Ontario",Order of Canada
Belzile,Hervé Belzile,"Repentigny, Quebec",Order of Canada
Bencz,Marjorie Bencz,"Edmonton, Alberta",Order of Canada
Bene,John G. Bene,"Vancouver, British Columbia",Order of Canada
Benedict,Daniel Benedict,"Ottawa, Ontario",Order of Canada
Benidickson,Agnes M. Benidickson,"Ottawa, Ontario",Order of Canada
Bennett,Avie Bennett,"Toronto, Ontario",Order of Canada
Bennett,Gordon L. Bennett,"Charlottetown, Prince Edward Island",Order of Canada
Bennett,Jalynn H. Bennett,"Toronto, Ontario",Order of Canada
Bennett,Myra M. Bennett,"Daniel's Harbour, Newfoundland and Labrador",Order of Canada
Bennett,William Andrew Cecil Bennett,"Kelowna, British Columbia",Order of Canada
Benoit,Claude Benoit,"Montréal, Quebec",Order of Canada
Benoît,Jehane Benoît,"Sutton, Quebec",Order of Canada
Benoît Roy,Simone Gabrielle Marie Benoît Roy,"Montréal, Quebec",Order of Canada
Bensimon,Jacques Bensimon,"Montréal, Quebec",Order of Canada
Bentall,H. Clark Bentall,"Vancouver, British Columbia",Order of Canada
Bentley,C. Fred Bentley,"Edmonton, Alberta",Order of Canada
Bentley,James M. Bentley,"Edmonton, Alberta",Order of Canada
Bentley,Peter J.G. Bentley,"Vancouver, British Columbia",Order of Canada
Beny,Roloff W. Beny,Rome,Order of Canada
Bérard,André Bérard,"Montréal, Quebec",Order of Canada
Bercuson,David Jay Bercuson,"Calgary, Alberta",Order of Canada
Bergen,Henry John Bergen,"Coaldale, Alberta",Order of Canada
Berger,Samuel Berger,"Montréal, Quebec",Order of Canada
Berger,Thomas R. Berger,"Vancouver, British Columbia",Order of Canada
